Country,Total Score,Included on the EPI,Signature Date,Ratification Date,Points,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision
Albania,5,Y,2001,2004,3,0,0,2,0,,0,0,0,,0,0
Algeria,22,Y,2001,2006,3,2,2,2,2,0,2,2,2,2,1,2
Angola,3,Y,,2006,3,,,,,,,,,,,
Antigua and Barbuda,21,N,2001,2003,3,2,2,2,2,,2,2,2,2,0,2
Argentina,23,Y,2001,2005,3,2,2,2,2,1,2,2,2,2,1,2
Armenia,21,Y,2001,2003,3,2,2,2,2,0,2,2,2,2,0,2
Australia,19,Y,2001,2004,3,2,2,2,2,0,2,2,2,,,2
Austria,24,Y,2001,2002,3,2,2,2,2,2,2,2,2,2,1,2
Azerbaijan,6,Y,,2004,3,,,2,,1,,,,,0,
Bahamas,3,N,2002,2005,3,0,0,0,0,0,0,0,0,0,0,0
Bahrain,3,N,2002,2006,3,,,,,,,,,,,
Bangladesh,21,Y,2001,2007,3,2,2,2,2,0,2,2,2,2,0,2
Barbados,21,N,,2004,3,2,2,2,2,0,2,2,2,2,0,2
Belarus,9,Y,,2004,3,2,0,2,0,0,0,0,0,0,0,2
Belgium,23,Y,2001,2006,3,2,2,2,2,1,2,2,2,2,1,2
Belize,21,N,2002,2010,3,2,2,2,2,0,2,2,2,2,0,2
Benin,17,Y,2001,2004,3,2,2,2,2,,2,2,,2,,
Bolivia,7,Y,2001,2003,3,,,2,,,,,2,,,
Bosnia and Herzegovina,3,Y,2001,2010,3,,,,,,,,,,,
Botswana,5,Y,,2002,3,,,2,,,,,,,,
Brazil,22,Y,2001,2004,3,2,2,2,2,1,2,1,2,2,1,2
Brunei Darussalam,17,Y,2002,,1,2,2,2,2,,2,2,2,,,2
Bulgaria,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Burkina Faso,19,N,2001,2004,3,2,2,2,2,0,2,2,0,2,0,2
Burundi,19,N,2002,2005,3,2,2,2,2,0,,2,2,2,0,2
Cambodia,7,Y,2001,2006,3,,,2,,0,2,,,,0,
Cameroon,23,Y,2001,2009,3,2,2,2,2,,2,2,2,2,2,2
Canada,24,Y,2001,2001,3,2,2,2,2,1,2,2,2,2,2,2
Cape Verde,21,N,,2006,3,2,2,2,2,0,2,2,2,2,0,2
Central African Republic,20,N,2002,2008,3,1,2,2,2,0,2,2,2,2,0,2
Chad,18,N,2002,2004,3,2,1,2,1,1,2,1,2,1,1,1
Chile,23,Y,2001,2005,3,2,2,2,2,,2,2,2,2,2,2
China,13,Y,2001,2004,3,1,1,1,1,0,1,1,1,1,1,1
Colombia,23,Y,2001,2008,3,2,2,2,2,1,2,2,2,2,1,2
Comoros,4,N,2001,2007,3,0,0,0,0,0,0,0,0,0,1,0
Congo,23,Y,2001,2007,3,2,2,2,2,,2,2,2,2,2,2
"Congo, Democratic Republic of the",4,Y,,2005,3,0,0,,0,1,0,0,0,0,0,0
Cook Islands,4,N,,2004,3,0,0,0,0,,0,0,0,0,1,0
Costa Rica,20,Y,2002,2007,3,2,2,2,2,1,2,2,1,0,1,2
Cote d'Ivoire,15,Y,2001,2004,3,2,2,2,2,0,,,,2,0,2
Croatia,24,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,2,2
Cuba,21,Y,2001,2007,3,2,2,2,2,,2,2,2,2,,2
Cyprus,22,Y,,2005,3,2,2,2,2,,2,2,1,2,2,2
Czech Republic,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
Denmark,23,Y,2001,2003,3,2,2,2,2,1,2,2,2,2,1,2
Djibouti,21,N,2001,2004,3,2,2,2,2,0,2,2,2,2,0,2
Dominica,3,N,,2003,3,,,,,,,,,,,
Dominican Republic,24,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,2,2
Ecuador,23,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,2,2
Egypt,22,Y,2002,2003,3,2,2,2,2,,2,2,1,2,2,2
El Salvador,17,Y,2001,2008,3,2,2,2,2,,2,2,0,0,0,2
Eritrea,21,Y,,2005,3,2,2,2,2,,2,2,2,2,0,2
Estonia,24,Y,,2008,3,2,2,2,2,1,2,2,2,2,2,2
Ethiopia,5,Y,2002,2003,3,0,0,2,0,0,0,0,0,0,0,0
Fiji,22,N,2001,2001,3,2,2,2,2,0,2,2,2,2,1,2
Finland,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
France,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Gabon,3,Y,2002,2007,3,0,0,0,0,,0,0,0,0,0,0
Gambia,21,N,2001,2006,3,2,2,2,2,0,2,2,2,2,0,2
Georgia,3,Y,2001,2006,3,,,,,0,,,,,0,
Germany,23,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,1,2
Ghana,21,Y,2001,2003,3,2,2,2,2,0,2,2,2,2,,2
Greece,21,Y,2001,2006,3,2,2,2,2,,2,2,2,2,,2
Guatemala,22,Y,2002,2008,3,2,2,2,2,1,2,2,2,2,,2
Guinea,22,N,2001,2007,3,2,2,2,2,0,2,2,2,2,1,2
Guinea-Bissau,5,N,2002,2008,3,0,0,2,0,0,0,0,0,0,0,0
Guyana,21,N,,2007,3,2,2,2,2,,2,2,2,2,0,2
Haiti,1,Y,2001,,1,,,,,,,,,,,
Honduras,21,Y,2002,2005,3,2,2,2,2,0,2,2,2,2,0,2
Hungary,23,Y,2001,2008,3,2,2,2,2,1,2,2,2,2,1,2
Iceland,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
India,23,Y,2002,2006,3,2,2,2,2,,2,2,2,2,2,2
Indonesia,21,Y,2001,2009,3,2,2,2,2,0,2,2,2,2,,2
Iran,21,Y,2001,2006,3,2,2,2,2,,2,2,2,2,0,2
Iraq,0,Y,,,0,,,,,,,,,,,
Ireland,24,Y,2001,2010,3,2,2,2,2,1,2,2,2,2,2,2
Israel,1,Y,2001,,1,,,,,,,,,,,
Italy,20,Y,2001,,1,2,2,,2,1,2,2,2,2,2,2
Jamaica,23,Y,2001,2007,3,2,2,2,2,1,2,2,2,2,1,2
Japan,23,Y,,2002,3,2,2,2,2,1,2,2,2,2,1,2
Jordan,21,Y,2002,2004,3,2,2,2,2,0,2,2,2,,2,2
Kazakhstan,13,Y,2001,2007,3,2,,2,2,0,,2,,2,0,
Kenya,21,Y,2001,2004,3,2,2,2,2,,2,2,2,2,0,2
Kiribati,3,N,2002,2004,3,,,,,,,,,,,
Kuwait,23,Y,2001,2006,3,2,2,2,2,,2,2,2,2,2,2
Kyrgyzstan,22,Y,2002,2006,3,2,2,2,2,0,2,2,2,1,2,2
Laos,15,N,2002,2006,3,2,,2,2,,2,2,,,0,2
Latvia,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Lebanon,20,Y,2001,2003,3,2,2,2,2,0,2,2,0,2,1,2
Lesotho,3,N,2002,2002,3,0,0,0,0,,0,0,0,0,0,0
Liberia,23,N,,2002,3,2,2,2,2,1,2,2,2,2,1,2
Libya,3,Y,,2005,3,,,,,,,,,,,
Liechtenstein,21,N,2001,2004,3,2,2,2,2,,2,2,2,2,,2
Lithuania,24,Y,2002,2006,3,2,2,2,2,1,2,2,2,2,2,2
Luxembourg,23,Y,2001,2003,3,2,2,2,2,,2,2,2,2,2,2
Macedonia,22,Y,2001,2004,3,2,2,2,2,,2,2,2,2,1,2
Madagascar,21,N,2001,2005,3,2,2,2,2,0,2,2,2,2,0,2
Malawi,19,N,2002,2009,3,2,2,2,2,0,,2,2,2,0,2
Malaysia,20,Y,2002,,1,2,2,2,2,,2,2,2,2,1,2
Maldives,3,N,,2006,3,,,,,,,,,,,
Mali,4,N,2001,2003,3,,,,,0,,,,,1,
Malta,1,Y,2001,,1,,,,,,,,,,,
Marshall Islands,3,N,,2003,3,0,0,0,0,0,0,0,0,0,0,0
Mauritania,3,N,2001,2005,3,0,0,0,0,0,0,0,0,0,0,0
Mauritius,23,N,2001,2004,3,2,2,2,2,0,2,2,2,2,2,2
Mexico,21,Y,2001,2003,3,2,1,1,2,1,2,1,2,2,2,2
Micronesia,3,N,2001,2005,3,0,0,0,0,,0,0,0,0,0,0
Moldova,12,Y,2001,2004,3,2,,2,,,,2,,,1,2
Monaco,23,N,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Mongolia,19,Y,2002,2004,3,2,2,2,2,0,2,2,2,0,0,2
Montenegro,18,N,2006,2011,3,2,2,2,2,,1,2,2,,2,
Morocco,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,0,2
Mozambique,21,Y,2001,2005,3,2,2,2,2,,2,2,2,2,0,2
Myanmar,15,Y,,2004,3,2,2,2,2,0,2,,,,0,2
Namibia,3,Y,,2005,3,,,,,,,,,,,
Nauru,3,N,2002,2002,3,0,0,0,0,0,0,0,0,0,0,0
Nepal,21,Y,2002,2007,3,2,2,2,2,,2,2,2,2,0,2
Netherlands,24,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,2,2
New Zealand,24,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,2,2
Nicaragua,16,Y,2001,2005,3,1,2,2,1,0,1,2,0,2,0,2
Niger,14,N,2001,2006,3,1,1,1,1,1,1,1,1,1,1,1
Nigeria,21,Y,2001,2004,3,2,2,2,2,,2,2,2,2,0,2
Niue,3,N,2002,2005,3,0,0,0,0,0,0,0,0,0,0,0
North Korea,3,N,,2002,3,,,0,,,,,0,,0,
Norway,23,Y,2001,2002,3,2,2,2,2,,2,2,2,2,2,2
Oman,6,Y,2002,2005,3,,,2,,,,,,,1,
Pakistan,12,Y,2001,2008,3,1,1,1,1,0,1,1,1,1,0,1
Palau,3,N,2002,2011,3,,,,,,,,,,,
Panama,24,Y,2001,2003,3,2,2,2,2,1,2,2,2,2,2,2
Papua New Guinea,3,N,2001,2003,3,,,,,,,,,,,
Paraguay,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,,2
Peru,21,Y,2001,2005,3,2,2,2,2,0,2,2,2,2,0,2
Philippines,18,Y,2001,2004,3,2,2,2,2,,2,2,,,1,2
Poland,24,Y,2001,2008,3,2,2,2,2,1,2,2,2,2,2,2
Portugal,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Qatar,22,Y,,2004,3,2,2,2,2,0,2,2,2,2,1,2
Romania,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
Russia,3,Y,2002,2011,3,,,,,,,,,,,
Rwanda,5,N,,2002,3,0,0,2,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,21,N,,2004,3,2,2,2,2,,2,2,2,2,0,2
Saint Lucia,5,N,,2002,3,,,2,,0,,,0,,0,
Saint Vincent and the Grenadines,3,N,,2005,3,,,,,,,,,,,
Samoa,13,N,2001,2002,3,2,2,2,2,0,0,2,0,0,,0
Sao Tome and Principe,3,N,2002,2006,3,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,23,Y,2002,2012,3,2,2,2,2,,2,2,2,2,2,2
Senegal,3,Y,2001,2003,3,0,0,0,0,0,0,0,0,0,0,0
