iso,country,pacovw_2012,biome_1,biome_2,biome_3,biome_4,biome_5,biome_6,biome_7,biome_8,biome_9,biome_10,biome_11,biome_12,biome_13,biome_14,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_9,share_10,share_11,share_12,share_13,share_14
AZE,Azerbaijan,11.71210852,-1,-1,-1,0.15,-1,-1,-1,0.35,-1,-1,-1,-1,0.07,-1,-1,-1,-1,0.0023234335292548,-1,-1,-1,0.000515596214844858,-1,-1,-1,-1,0.00181415269868609,-1
BLR,Belarus,7.012595595,-1,-1,-1,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.016203041704974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CYP,Cyprus,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0028810784716221,-1,-1
IRN,Iran,5.846246329,-1,-1,-1,0.06,0.1,-1,-1,0.04,0.04,0.02,-1,-1,0.08,-1,-1,-1,-1,0.0314338223907599,0.0154820122483877,-1,-1,0.0063544003072034,0.00658334475637797,0.0302322517147657,-1,-1,0.0334939027499142,-1
LTU,Lithuania,14.91754826,-1,-1,-1,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00505245259865068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MWI,Malawi,12.39099623,-1,-1,-1,-1,-1,-1,0.17,-1,0.04,0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00343494859898221,-1,0.0040641261669633,0.00423488505019414,-1,-1,-1,-1
ESP,Spain,7.83896071,-1,-1,-1,0.14,-1,-1,-1,-1,-1,-1,-1,0.08,-1,-1,-1,-1,-1,0.00586975785970257,-1,-1,-1,-1,-1,-1,-1,0.133813485578025,-1,-1
SUR,Suriname,14.26239006,0.1,-1,-1,-1,-1,-1,0.99,-1,-1,-1,-1,-1,-1,0.57,0.00724118445683693,-1,-1,-1,-1,-1,2.62252219993032e-05,-1,-1,-1,-1,-1,-1,0.0125048027983045
KHM,Cambodia,17,0.3,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.53,0.00319756685589011,0.0392401997515742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00301514694328952
DNK,Denmark,12.7062798,-1,-1,-1,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00335621466776059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MLT,Malta,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00010116077491945,-1,-1
POL,Poland,17,-1,-1,-1,0.22,0.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0227933921815054,0.00470541724550838,-1,-1,-1,-1,-1,-1,-1,-1,-1
SWZ,Swaziland,2.960385718,0.09,-1,-1,-1,-1,-1,0.01,-1,-1,0.03,-1,-1,-1,-1,0.00015774841361065,-1,-1,-1,-1,-1,0.000337298538994422,-1,-1,0.00149352220006866,-1,-1,-1,-1
ASM,American Samoa,1.626253773,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.04650627571516e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RWA,Rwanda,10.15985719,0.12,-1,-1,-1,-1,-1,0.07,-1,-1,0.26,-1,-1,-1,-1,0.000561575099092356,-1,-1,-1,-1,-1,0.000659384137115513,-1,-1,0.000124031106430297,-1,-1,-1,-1
