ISO,Biome,y2012p,share,
AFG,5,0,0.00317537353459902,
AFG,8,0,0.000352423759030088,
AFG,10,0.01,0.0224700464367974,
AFG,13,0,0.018439243115694,
AFG,99,0,NA,
ALB,4,0.14,0.000201387004053923,
ALB,12,0.1,0.00819415303437399,
DZA,5,0.03,0.00230688205108957,
DZA,9,0,0.0130850794194922,
DZA,12,0.01,0.0909537935413107,
DZA,13,0.07,0.0717955334300392,
ASM,1,0.02,0.0000104650627571516,
AND,4,0.06,0.0000362736793131042,
AGO,1,0.08,0.00523651857869628,
AGO,2,0,0.00102680680140651,
AGO,7,0.11,0.0522929597920246,
AGO,9,0.84,0.002932033212311,
AGO,13,0.42,0.00194928109934588,
AGO,14,0,0.00345463305933612,
AIA,2,0,0.00000127026008601725,
AIA,13,0.05,0.00000285843932089042,
ATG,1,0.32,0.00000137832285315488,
ATG,2,0.14,0.0000244922022835201,
ATG,13,0.04,0.0000120238267042384,
ATG,14,0,0.00000233696089233415,
ARG,1,0.1,0.00382497228499744,
ARG,4,0.31,0.00572974153558707,
ARG,7,0.04,0.0313345338102872,
ARG,8,0.02,0.157369065937983,
ARG,9,0.04,0.0584564927018951,
ARG,10,0.17,0.067199906584993,
ARG,99,0.93,NA,
ARM,4,0.11,0.00119555503137438,
ARM,8,0.14,0.00141681608782458,
ARM,13,0,0.0000000532850567762633,
ABW,13,0,0.000000841474755668104,
ABW,14,0,0.000438496344374557,
AUS,1,0.38,0.00169686014339458,
AUS,4,0.18,0.0439756578976764,
AUS,7,0.08,0.102822325571063,
AUS,8,0.03,0.0571568176169997,
AUS,10,0.64,0.00245260905042336,
AUS,12,0.13,0.249879386959625,
AUS,13,0.15,0.128027922948991,
AUT,4,0.12,0.00275368298640243,
AUT,5,0.31,0.0118643244579776,
AZE,4,0.15,0.0023234335292548,
AZE,8,0.35,0.000515596214844858,
AZE,13,0.07,0.00181415269868609,
BHS,3,0.12,0.00939944366137837,
BHS,14,0.15,0.0185771619809455,
BHR,13,0.01,0.0000238731359070888,
BGD,1,0.01,0.00621835832823995,
BGD,7,0,0.00000628923717570311,
BGD,14,0.06,0.0461904169481903,
BRB,13,0,0.0000156382701192565,
BLR,4,0.07,0.016203041704974,
BEL,4,0.15,0.00238605429920634,
BLZ,1,0.4,0.000850077689791812,
BLZ,3,0.29,0.00397723132782214,
BLZ,14,0.17,0.00704379258509802,
BEN,1,0.01,0.0000739443459534678,
BEN,7,0.24,0.0054917977827591,
BMU,3,0.05,0.0000877419285223481,
BTN,1,0.2,0.000223433522918355,
BTN,3,0.29,0.000944142490756328,
BTN,4,0.15,0.001263092665978,
BTN,5,0.44,0.00224124739339627,
BTN,7,0.17,0.000005147571057316,
BTN,10,0.45,0.00154322032202351,
BTN,99,0.14,NA,
BOL,1,0.17,0.0286334200957761,
BOL,2,0.14,0.0786379282936594,
BOL,7,0.21,0.0122358411616124,
BOL,9,0.54,0.0294515696064956,
BIH,4,0,0.00362152793526913,
BWA,7,0.31,0.0149258310322229,
BWA,9,0.59,0.0427111373992959,
BWA,13,0.24,0.00796075315106199,
BRA,1,0.37,0.268774817737987,
BRA,2,0.09,0.0601654620940232,
BRA,7,0.11,0.104533976653812,
BRA,9,0.05,0.124975386709231,
BRA,13,0.04,0.0263071393665399,
BRA,14,0.56,0.0759992054332966,
VGB,1,0.02,0.000000747504482653684,
VGB,13,0.06,0.00000538787023752472,
BRN,1,0.44,0.00028761037505588,
BRN,14,0.54,0.000343505757515563,
BGR,4,0.21,0.00864053555391853,
BGR,8,0.19,0.0000523091433569406,
BGR,12,0.43,0.0000641683613045285,
BFA,7,0.14,0.0132570931641583,
BDI,1,0.07,0.000351408124715494,
BDI,7,0.04,0.000881239125108558,
KHM,1,0.3,0.00319756685589011,
KHM,2,0.23,0.0392401997515742,
KHM,14,0.53,0.00301514694328952,
CMR,1,0.11,0.0124681862385172,
CMR,7,0.07,0.0104248137995567,
CMR,9,0,0.000495244551900011,
CMR,14,0.21,0.00704940129123963,
CAN,4,0.06,0.0517899362350934,
CAN,5,0.15,0.191199488471103,
CAN,6,0.07,0.305606201709448,
CAN,8,0.01,0.0678198145142424,
CAN,11,0.11,0.346189271510169,
CAN,99,0.14,NA,
CPV,2,0.02,0.00136097782716031,
CYM,2,0.05,0.0000459476890489052,
CYM,14,0.11,0.000393516720611514,
CAF,1,0.29,0.00333303026026501,
CAF,7,0.16,0.0268076707917139,
TCD,7,0.14,0.0356922872952285,
TCD,9,0,0.00903414349865521,
TCD,13,0.04,0.018554209380676,
CHL,4,0.32,0.0267800689125463,
CHL,8,0.12,0.00283513676260918,
CHL,10,0.09,0.0233068565680825,
CHL,12,0.01,0.046100527701262,
CHL,13,0.01,0.00382629729078605,
CHL,99,0.98,NA,
CHN,1,0.07,0.0780101328966309,
CHN,4,0.07,0.180978467583447,
CHN,5,0.16,0.127624395598221,
CHN,6,0,0.0000214602150314872,
CHN,8,0.1,0.0631284411029741,
CHN,9,0.16,0.0997244094832477,
CHN,10,0.39,0.501224570537704,
CHN,13,0.1,0.0621039185611533,
CHN,99,0.24,NA,
HKG,1,0.38,0.0000623440139479506,
COL,1,0.24,0.0437930566053293,
COL,2,0.03,0.0261266995252959,
COL,7,0.11,0.00737482158432851,
COL,10,0.45,0.00317592255938351,
COL,13,0.34,0.000991129950229293,
COL,14,0.18,0.024573363732154,
COM,1,0,0.0000857739738125598,
COG,1,0.11,0.0118391298792641,
COG,7,0.06,0.0053536379541517,
COK,1,0.01,0.0000116747257713437,
CRI,1,0.22,0.0022198630939986,
CRI,2,0.09,0.00204963742410626,
CRI,7,0.16,0.00000183769869728614,
CRI,14,0.37,0.00454241962057378,
CIV,1,0.27,0.00762026043833743,
CIV,7,0.19,0.00830987539647798,
CIV,14,0.19,0.00141295404916278,
HRV,4,0.15,0.00329391539411704,
HRV,12,0.06,0.00604157729560172,
CUB,1,0.15,0.00108709979453935,
CUB,2,0.02,0.0217304914580699,
CUB,3,0.07,0.00854869117845039,
CUB,9,0.12,0.00514221927421436,
CUB,13,0.06,0.000114347586134877,
CUB,14,0.16,0.0256147959867508,
CUW,13,0.04,0.0000101845982008806,
CUW,14,0.02,0.000427581362324479,
CYP,12,0.37,0.0028810784716221,
CZE,4,0.17,0.00603105068462803,
CZE,5,0.65,0.000363931614492986,
PRK,4,0.02,0.0095732829601265,
COD,1,0.11,0.0582294873686053,
COD,7,0.09,0.0565466043598769,
COD,9,0,0.00213340389021897,
COD,10,0.73,0.000150495835767801,
COD,14,0.6,0.00204409845203835,
DNK,4,0.13,0.00335621466776059,
DJI,13,0,0.000779637268470335,
DMA,1,0.27,0.0000309330297399163,
DMA,13,0,0.00000541791013530462,
DOM,1,0.1,0.00145360985371762,
DOM,2,0.29,0.00326619594179954,
DOM,3,0.49,0.011754819181518,
DOM,9,0.91,0.000382963492678065,
DOM,14,0.4,0.00322638071429897,
ECU,1,0.24,0.0102683264052381,
ECU,2,0.04,0.00803805696571333,
ECU,9,0.03,0.00268136388019438,
ECU,10,0.42,0.00323506581329185,
ECU,13,0.96,0.000289354666333153,
ECU,14,0.16,0.0149968554129169,
EGY,9,0.04,0.0666071356608069,
EGY,12,0.09,0.00117169213221794,
EGY,13,0.12,0.0325637741763945,
SLV,1,0.04,0.000051171191322765,
SLV,2,0.01,0.00272721863295827,
SLV,3,0.01,0.0147767664094056,
SLV,14,0.01,0.00191751765264651,
GNQ,1,0.17,0.00133739965784789,
GNQ,14,0.7,0.00257623819405161,
ERI,7,0.08,0.00269777238788142,
ERI,10,0.03,0.00469162755963841,
ERI,13,0.01,0.00156714248683419,
EST,4,0.18,0.00353157295616069,
ETH,7,0.21,0.0386486921499394,
ETH,9,0,0.000676000113975386,
ETH,10,0.12,0.0537056322831428,
ETH,13,0.17,0.00232134454471288,
FLK,8,0,0.00122150585251563,
FLK,11,0,0.000468970772730185,
FJI,1,0.03,0.000601553085936284,
FJI,2,0.03,0.0023896834027579,
FIN,4,0.01,0.000566346179430501,
FIN,6,0.09,0.0216430263827711,
FIN,11,0.79,0.000440840033333235,
FRA,4,0.13,0.0361938202544637,
FRA,5,0.48,0.00440218078078438,
FRA,12,0.28,0.0208550058698899,
GUF,1,0.48,0.00413671324613719,
GUF,14,0.42,0.00637533928891779,
PYF,1,0.01,0.000216455285774564,
GAB,1,0.17,0.0109171862830449,
GAB,7,0.06,0.00225064748706475,
GAB,14,0.14,0.0142764391039542,
GMB,7,0.04,0.000475289036450652,
GMB,14,0.06,0.00271524612665916,
GEO,4,0.08,0.00447935655741404,
GEO,8,0.03,0.000536592131956109,
GEO,13,0.07,0.000252678812086533,
DEU,4,0.44,0.0275926929688612,
DEU,5,0.54,0.000842673215199153,
GHA,1,0.21,0.0040584382658292,
GHA,7,0.12,0.00761783673022672,
GHA,14,0,0.00394171069661367,
GIB,12,0.05,0.00000211837163569979,
GRC,4,0.15,0.000973781103673384,
GRC,12,0.16,0.0372754069747817,
GRL,11,0.45,0.0579326219552456,
GRL,99,0.39,NA,
GRD,1,0.03,0.0000113832652641331,
GRD,2,0,0.0000228977612380505,
GRD,13,0,0.000000978800002661964,
GRD,14,0,0.0000138842970662205,
GLP,1,0.98,0.0000355648059821262,
GLP,13,0.5,0.0000268635362075124,
GLP,14,0.46,0.000578521542311708,
GUM,2,0.27,0.000182510572202682,
GTM,1,0.44,0.00350145366972541,
GTM,2,0.03,0.0024970269959643,
GTM,3,0.08,0.041521574019105,
GTM,13,0.19,0.0000837523078638724,
GTM,14,0.23,0.00414013242320162,
GIN,1,0.07,0.00244072646517155,
GIN,7,0.07,0.00937594594892859,
GIN,14,0,0.0078072089744797,
GNB,7,0.15,0.0012046760145975,
GNB,14,0.2,0.0246212851772757,
GUY,1,0.05,0.0100301878844568,
GUY,7,0,0.000648473070926928,
GUY,14,0,0.00171774873683827,
HTI,1,0,0.000873011861066359,
