iso,country,PACOVW.2012,biome_1,biome_2,biome_3,biome_4,biome_5,biome_6,biome_7,biome_8,biome_9,biome_10,biome_11,biome_12,biome_13,biome_14,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_9,share_10,share_11,share_12,share_13,share_14
AFG,Afghanistan,0.76946809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,9.700232103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,3.303474746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,1.626253773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,5.715822308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,10.60284532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,Anguilla,3.64659889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,10.30948611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,6.102405987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,12.5706411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,0.037547859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,12.06467533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,15.97911542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,11.71210852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Bahamas,13.90165581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,1.271795794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,5.185300335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,0.091472478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,7.012595595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,14.67708087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,16.94314413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,16.7935989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,5.476381105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,16.34275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,15.58845592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,0.424993148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,12.50151107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,British Virgin Islands,5.46328597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,14.23755472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,5.185123653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,11.0680583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,9.860954752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cape Verde,2.48940266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,10.34637525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,16.49336963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,8.708221067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,8.056814886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,China,13.66981927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,13.12807852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM,Comoros,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,Congo,9.407968503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,Cook Islands,1.300628492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,15.1776867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIV,Cote d'Ivoire,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,9.380273608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,9.220790416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,16.72958063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,Dem. Rep. Congo,10.1579661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,12.7062798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,0.000871526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,14.47017751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,16.49473544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,13.00429631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,6.453011752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,0.67730783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,4.343268472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,14.09901534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,Faeroe Islands,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLK,Falkland Islands,0.248273515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,3.106574651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,8.582794381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,14.72558403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,1.008945386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,14.42254421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,Gambia,5.888682481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,7.52092929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,10.03266419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,5.124450952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,16.33880892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,Greenland,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,0.640767636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLP,Guadeloupe,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,Guam,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,9.148770386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,4.120670693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,16.89104793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,4.419991674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,0.469009431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAT,Holy See,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,13.54710838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,Hong Kong,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,5.026107547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,15.55996824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,6.175787982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,14.80760435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Iran,5.846246329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,1.761580939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,Isle of Man,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,6.879786228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,10.74093356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,16.26455461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,15.43182594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1.274968281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,3.327824712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,11.85976402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,3.71151699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,Laos,16.47581725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,0.435337616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,0.220582886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1.05237139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,0.345593876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,15.45191323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,14.91754826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,Macao,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,Macedonia,7.963866288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,3.072160179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,12.39099623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,3.386785144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,Marshall Islands,1.76136225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTQ,Martinique,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,0.431177509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,4.813846704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYT,Mayotte,5.78845861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,11.29796765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,Micronesia,1.649698036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1.214590517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Monaco,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,Mongolia,10.09940895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,13.08986319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSR,Montserrat,1.942379725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,2.113997473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,16.22556937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,4.396016042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRU,Nauru,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,7.246920869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT,Netherlands Antilles,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,New Caledonia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,14.32588173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,15.62423295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,Niger,11.87083573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
