,Japan,Indonesia,Angola,Ukraine,Namibia,France,China,Mongolia,Cambodia,Benin,Ecuador,Nigeria,Ghana,United States,Ecuador,Philippines,Chad,Kenya,Ghana,Japan,India,Ethiopia,South Korea,Chile,Libya,Indonesia,Maldives,Japan,Japan,Russia,Samoa,Papua New Guinea,Maldives,South Africa,South Africa,France,Malaysia,Madagascar,United Republic of Tanzania,Congo (Republic of the),Brazil,China,Singapore,Nepal,Malawi,Namibia,Swaziland,China,Switzerland,Belize,Costa Rica,Brazil,Nepal,Israel,Panama,Turkey,Mauritania,Bangladesh,United Republic of Tanzania,Indonesia,Germany,Chad,Zambia,South Africa,Bangladesh,Ethiopia,Gambia,Niger,Nigeria,Mozambique,Uganda,Marshall Islands,Indonesia,Mexico,Mexico,Brazil,Italy,Belarus,Mauritius,South Korea,South Korea,Brazil,Pakistan,Ecuador,Benin,Nigeria,Colombia,Papua New Guinea,Morocco,Venezuela,Sudan,Sudan,Romania,United Arab Emirates,Swaziland,Angola,Armenia,Bolivia,Democratic Republic of the Congo,,Brazil,Italy,Israel,Peru,Germany,Chad,Indonesia,Sweden,Sweden,Brazil,Malaysia,Ecuador,Oman,Turkey,South Korea,Japan,Japan,Brazil,Japan,Vanuatu,Fiji,Honduras,Honduras,Guatemala,Lebanon,Tuvalu,Qatar,Guinea-Bissau,Burundi,Grenada,Togo,Trinidad and Tobago,Brazil,Solomon Islands,Ghana,Czech Republic,Brazil,United States,United States,Colombia,Argentina,Zimbabwe,Uganda,United Kingdom,Eritrea,Portugal,Taiwan,Democratic Republic of the Congo,Nepal,Kyrgyzstan,Nepal,Poland,Nepal,Tibet,Fiji,Vanuatu,Bangladesh,Zambia,Nigeria,United Kingdom,Cameroon,Liberia,Niger,Bangladesh,Belgium,Bangladesh,Bangladesh,Nigeria,Bangladesh,Egypt,China,Malawi,Kyrgyzstan,Bhutan,Japan,Libya,Lesotho,Jordan,France,Nepal,Brazil,Philippines,Somalia,India,Zambia,Zambia,Zambia,Panama,Belgium,Nigeria,Ghana,Italy,Netherlands,Lebanon,Jordan,Palau,Cook Islands,Nigeria,United States,Poland,United Republic of Tanzania,Malawi,Namibia,Cape Verde,China,Cambodia,Cambodia,Russia,Algeria,Zimbabwe,Uzbekistan,Haiti,Lithuania,United States,India,South Korea,Qatar,Germany,Germany,Germany,United States,Yemen,United Kingdom,South Korea,United States,Mexico
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,1,,1,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,1,1,
Austria,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,
