iso,Country,Total Score,Included on the EPI,Signature Date,Ratification Date,Points,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision
ABW,Aruba,-1,,,,,,,,,,,,,,,
AFG,Afghanistan,-1,,,,,,,,,,,,,,,
AGO,Angola,3,Y,,2006,3,,,,,,,,,,,
AIA,Anguilla,,,,,,,,,,,,,,,,
ALA,Ãland Islands,-911,,,,,,,,,,,,,,,
ALB,Albania,5,Y,2001,2004,3,0,0,2,0,,0,0,0,,0,0
AND,Andorra,-1,,,,,,,,,,,,,,,
ANT,Netherlands Antilles,-1,,,,,,,,,,,,,,,
ARE,United Arab Emirates,23,Y,2001,2002,3,2,2,2,2,0,2,2,2,2,2,2
ARG,Argentina,23,Y,2001,2005,3,2,2,2,2,1,2,2,2,2,1,2
ARM,Armenia,21,Y,2001,2003,3,2,2,2,2,0,2,2,2,2,0,2
ASM,American Samoa,-1,,,,,,,,,,,,,,,
ATA,Antarctica,-911,,,,,,,,,,,,,,,
ATF,French Southern and Antarctic Lands,-911,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,21,N,2001,2003,3,2,2,2,2,,2,2,2,2,0,2
AUS,Australia,19,Y,2001,2004,3,2,2,2,2,0,2,2,2,,,2
AUT,Austria,24,Y,2001,2002,3,2,2,2,2,2,2,2,2,2,1,2
AZE,Azerbaijan,6,Y,,2004,3,,,2,,1,,,,,0,
BDI,Burundi,19,N,2002,2005,3,2,2,2,2,0,,2,2,2,0,2
BEL,Belgium,23,Y,2001,2006,3,2,2,2,2,1,2,2,2,2,1,2
BEN,Benin,17,Y,2001,2004,3,2,2,2,2,,2,2,,2,,
BFA,Burkina Faso,19,N,2001,2004,3,2,2,2,2,0,2,2,0,2,0,2
BGD,Bangladesh,21,Y,2001,2007,3,2,2,2,2,0,2,2,2,2,0,2
BGR,Bulgaria,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
BHR,Bahrain,3,N,2002,2006,3,,,,,,,,,,,
BHS,Bahamas,3,N,2002,2005,3,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,3,Y,2001,2010,3,,,,,,,,,,,
BLM,Saint Barthelemy,-911,,,,,,,,,,,,,,,
BLR,Belarus,9,Y,,2004,3,2,0,2,0,0,0,0,0,0,0,2
BLZ,Belize,21,N,2002,2010,3,2,2,2,2,0,2,2,2,2,0,2
BMU,Bermuda,-1,,,,,,,,,,,,,,,
BOL,Bolivia,7,Y,2001,2003,3,,,2,,,,,2,,,
BRA,Brazil,22,Y,2001,2004,3,2,2,2,2,1,2,1,2,2,1,2
BRB,Barbados,21,N,,2004,3,2,2,2,2,0,2,2,2,2,0,2
BRN,Brunei Darussalam,17,Y,2002,,1,2,2,2,2,,2,2,2,,,2
BTN,Bhutan,-1,,,,,,,,,,,,,,,
BVT,Bouvet Island,-911,,,,,,,,,,,,,,,
BWA,Botswana,5,Y,,2002,3,,,2,,,,,,,,
CAF,Central African Republic,20,N,2002,2008,3,1,2,2,2,0,2,2,2,2,0,2
